metric_id,label,value,unit,section,sample,split,cost_basis,source_artifact,source_json_pointer,source_sha256,contract_refs
forward_6_mean_net_return,6-bar Mean net return,-0.0011792458287211058,fraction,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/6/mean_net_return,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_6_median_net_return,6-bar Median net return,-0.00122260699074675,fraction,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/6/median_net_return,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_6_mean_ci_low,6-bar Newey-West mean CI low,-0.0012555219961342039,fraction,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/6/newey_west/confidence_interval/0,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_6_mean_ci_high,6-bar Newey-West mean CI high,-0.0011029696613080078,fraction,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/6/newey_west/confidence_interval/1,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_6_one_sided_p_value,6-bar One-sided p-value for positive mean,1.0,p_value,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/6/newey_west/p_value_one_sided_greater,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_6_effective_sample_size,6-bar Effective sample size,6640.0,events,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/6/newey_west/effective_sample_size,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_12_mean_net_return,12-bar Mean net return,-0.001128667342799136,fraction,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/12/mean_net_return,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_12_median_net_return,12-bar Median net return,-0.0011828962751460502,fraction,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/12/median_net_return,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_12_mean_ci_low,12-bar Newey-West mean CI low,-0.0012432055176927236,fraction,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/12/newey_west/confidence_interval/0,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_12_mean_ci_high,12-bar Newey-West mean CI high,-0.0010141291679055483,fraction,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/12/newey_west/confidence_interval/1,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_12_one_sided_p_value,12-bar One-sided p-value for positive mean,1.0,p_value,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/12/newey_west/p_value_one_sided_greater,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_12_effective_sample_size,12-bar Effective sample size,6544.87263483786,events,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/12/newey_west/effective_sample_size,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
fold-1_training_event_count,fold-1: Training event count,4992,events,walk_forward,anchored walk-forward fold-1,training,not_applicable,tools/strategy_lab_phase5/artifacts/validation-report.json,/walk_forward/folds/0/training/event_count,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/validation"",""/execution""]"
fold-1_validation_event_count,fold-1: Validation event count,809,events,walk_forward,anchored walk-forward fold-1,validation,not_applicable,tools/strategy_lab_phase5/artifacts/validation-report.json,/walk_forward/folds/0/validation/event_count,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/validation"",""/execution""]"
fold-1_training_mean_net_return,fold-1: Training mean net return,-0.0010764335253117074,fraction,walk_forward,anchored walk-forward fold-1,training,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/walk_forward/folds/0/training/mean_net_return,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/validation"",""/execution""]"
fold-1_validation_mean_net_return,fold-1: Validation mean net return,-0.0013856302316905338,fraction,walk_forward,anchored walk-forward fold-1,validation,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/walk_forward/folds/0/validation/mean_net_return,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/validation"",""/execution""]"
fold-1_purged_training_events,fold-1: Purged training events,2,events,walk_forward,anchored walk-forward fold-1,training,not_applicable,tools/strategy_lab_phase5/artifacts/validation-report.json,/walk_forward/folds/0/purged_training_events,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/validation"",""/execution""]"
fold-1_embargoed_validation_events,fold-1: Embargoed validation events,1,events,walk_forward,anchored walk-forward fold-1,validation,not_applicable,tools/strategy_lab_phase5/artifacts/validation-report.json,/walk_forward/folds/0/embargoed_validation_events,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/validation"",""/execution""]"
fold-2_training_event_count,fold-2: Training event count,5804,events,walk_forward,anchored walk-forward fold-2,training,not_applicable,tools/strategy_lab_phase5/artifacts/validation-report.json,/walk_forward/folds/1/training/event_count,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/validation"",""/execution""]"
fold-2_validation_event_count,fold-2: Validation event count,835,events,walk_forward,anchored walk-forward fold-2,validation,not_applicable,tools/strategy_lab_phase5/artifacts/validation-report.json,/walk_forward/folds/1/validation/event_count,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/validation"",""/execution""]"
fold-2_training_mean_net_return,fold-2: Training mean net return,-0.0011195016594708674,fraction,walk_forward,anchored walk-forward fold-2,training,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/walk_forward/folds/1/training/mean_net_return,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/validation"",""/execution""]"
fold-2_validation_mean_net_return,fold-2: Validation mean net return,-0.0011869991806246324,fraction,walk_forward,anchored walk-forward fold-2,validation,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/walk_forward/folds/1/validation/mean_net_return,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/validation"",""/execution""]"
fold-2_purged_training_events,fold-2: Purged training events,0,events,walk_forward,anchored walk-forward fold-2,training,not_applicable,tools/strategy_lab_phase5/artifacts/validation-report.json,/walk_forward/folds/1/purged_training_events,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/validation"",""/execution""]"
fold-2_embargoed_validation_events,fold-2: Embargoed validation events,1,events,walk_forward,anchored walk-forward fold-2,validation,not_applicable,tools/strategy_lab_phase5/artifacts/validation-report.json,/walk_forward/folds/1/embargoed_validation_events,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/validation"",""/execution""]"
fee_bps_per_side,Fee assumption per side,4.0,basis_points,assumptions,confirmed research contract,all_declared_splits,declared_input,docs/strategy_lab/examples/btcusdt_ema9_bounce.event-study.json,/execution/fee_bps_per_side,1993fd8b728a84e415e443649df4c3c7122ade0daffdd14b20a76da7db4c6239,"[""/execution/fee_bps_per_side""]"
slippage_bps_per_side,Slippage assumption per side,1.5,basis_points,assumptions,confirmed research contract,all_declared_splits,declared_input,docs/strategy_lab/examples/btcusdt_ema9_bounce.event-study.json,/execution/slippage_bps_per_side,1993fd8b728a84e415e443649df4c3c7122ade0daffdd14b20a76da7db4c6239,"[""/execution/slippage_bps_per_side""]"
fixed_notional,Fixed position notional,1000.0,USDT,assumptions,confirmed research contract,all_declared_splits,declared_input,docs/strategy_lab/examples/btcusdt_ema9_bounce.event-study.json,/execution/position_sizing/value,1993fd8b728a84e415e443649df4c3c7122ade0daffdd14b20a76da7db4c6239,"[""/execution/position_sizing/value""]"
minimum_events,Minimum event requirement,200,events,assumptions,confirmed research contract,all_declared_splits,declared_input,docs/strategy_lab/examples/btcusdt_ema9_bounce.event-study.json,/validation/minimum_events,1993fd8b728a84e415e443649df4c3c7122ade0daffdd14b20a76da7db4c6239,"[""/validation/minimum_events""]"
bootstrap_samples,Bootstrap samples,10000,samples,assumptions,confirmed research contract,all_declared_splits,declared_input,docs/strategy_lab/examples/btcusdt_ema9_bounce.event-study.json,/validation/bootstrap_samples,1993fd8b728a84e415e443649df4c3c7122ade0daffdd14b20a76da7db4c6239,"[""/validation/bootstrap_samples""]"
